,day,time,country,name,important,predict,result,beforte,us_datetime,from_us_datetime,to_us_datetime
33,6/7,21:30,米国,5月平均時給(前月比),★★★0.3%0.2%,,,,2019-06-07 08:30:00,2019-06-07 07:00:00,2019-06-07 10:00:00
34,6/7,21:30,米国,5月非農業部門雇用者数変化(前月比),★★★18.0万人26.3万人,,,,2019-06-07 08:30:00,2019-06-07 07:00:00,2019-06-07 10:00:00
35,6/7,21:30,米国,5月平均時給(前年同月比),★★★3.2%3.2%,,,,2019-06-07 08:30:00,2019-06-07 07:00:00,2019-06-07 10:00:00
36,6/7,21:30,米国,5月失業率,★★★3.6%3.6%,,,,2019-06-07 08:30:00,2019-06-07 07:00:00,2019-06-07 10:00:00
51,6/10,08:50,日本,1-3月期四半期実質国内総生産(GDP、改定値)(年率換算),★★★2.2%2.1%,,,,2019-06-09 19:50:00,2019-06-09 18:20:00,2019-06-09 21:20:00
54,6/10,08:50,日本,1-3月期四半期実質国内総生産(GDP、改定値)(前期比),★★★0.5%0.5%,,,,2019-06-09 19:50:00,2019-06-09 18:20:00,2019-06-09 21:20:00
86,6/12,21:30,米国,5月消費者物価指数(CPIコア指数)(前月比),★★★0.2%0.1%,,,,2019-06-12 08:30:00,2019-06-12 07:00:00,2019-06-12 10:00:00
87,6/12,21:30,米国,5月消費者物価指数(CPI)(前月比),★★★0.1%0.3%,,,,2019-06-12 08:30:00,2019-06-12 07:00:00,2019-06-12 10:00:00
88,6/12,21:30,米国,5月消費者物価指数(CPIコア指数)(前年同月比),★★★2.1%2.1%,,,,2019-06-12 08:30:00,2019-06-12 07:00:00,2019-06-12 10:00:00
89,6/12,21:30,米国,5月消費者物価指数(CPI)(前年同月比),★★★1.9%2.0%,,,,2019-06-12 08:30:00,2019-06-12 07:00:00,2019-06-12 10:00:00
